Selection sort
Vector configuration, Microseconds, #Data Comparisons, #Loop Comparisons, #Data Comparisons, #Loop Assignments, #Other, #Total
Sorted N = 500, 1016, 124251, 125250, 1996, 125250, 501, 377248
Sorted N = 1000, 5468, 498501, 500500, 3996, 500500, 1001, 1504498
Sorted N = 5000, 107053, 12492501, 12502500, 19996, 12502500, 5001, 37522498
Sorted N = 10000, 384500, 49985001, 50005000, 39996, 50005000, 10001, 150044998
Descending Sorted N = 500, 1304, 124251, 125250, 64246, 125250, 62751, 501748
Descending Sorted N = 1000, 5789, 498501, 500500, 253496, 500500, 250501, 2003498
Descending Sorted N = 5000, 131570, 12492501, 12502500, 6267496, 12502500, 6252501, 50017498
Descending Sorted N = 10000, 513104, 49985001, 50005000, 25034996, 50005000, 25005001, 200034998
Unsorted N = 500, 1014, 124251, 125250, 4568, 125250, 3073, 382392
Unsorted N = 1000, 3885, 498501, 500500, 9592, 500500, 6597, 1515690
Unsorted N = 5000, 102454, 12492501, 12502500, 55243, 12502500, 40248, 37592992
Unsorted N = 10000, 385081, 49985001, 50005000, 114926, 50005000, 84931, 150194858

Bubble sort
Vector configuration, Microseconds, #Data Comparisons, #Loop Comparisons, #Data Comparisons, #Loop Assignments, #Other, #Total
Sorted N = 500, 1221, 124750, 500, 0, 125749, 2, 251001
Sorted N = 1000, 4745, 499500, 1000, 0, 501499, 2, 1002001
Sorted N = 5000, 122649, 12497500, 5000, 0, 12507499, 2, 25010001
Sorted N = 10000, 485191, 49995000, 10000, 0, 50014999, 2, 100020001
Descending Sorted N = 500, 2576, 249500, 500, 374250, 125749, 2, 750001
Descending Sorted N = 1000, 10173, 999000, 1000, 1498500, 501499, 2, 3000001
Descending Sorted N = 5000, 259841, 24995000, 5000, 37492500, 12507499, 2, 75000001
Descending Sorted N = 10000, 1037361, 99990000, 10000, 149985000, 50014999, 2, 300000001
Unsorted N = 500, 2364, 189083, 500, 192999, 125749, 2, 508333
Unsorted N = 1000, 9372, 743553, 1000, 732159, 501499, 2, 1978213
Unsorted N = 5000, 243135, 18793088, 5000, 18886764, 12507499, 2, 50192353
Unsorted N = 10000, 953866, 75188325, 10000, 75579975, 50014999, 2, 200793301

Insertion sort
Vector configuration, Microseconds, #Data Comparisons, #Loop Comparisons, #Data Comparisons, #Loop Assignments, #Other, #Total
Sorted N = 500, 9, 0, 999, 998, 1499, 1, 3497
Sorted N = 1000, 19, 0, 1999, 1998, 2999, 1, 6997
Sorted N = 5000, 96, 0, 9999, 9998, 14999, 1, 34997
Sorted N = 10000, 193, 0, 19999, 19998, 29999, 1, 69997
Descending Sorted N = 500, 1879, 124750, 125749, 998, 126249, 1, 377747
Descending Sorted N = 1000, 7500, 499500, 501499, 1998, 502499, 1, 1505497
Descending Sorted N = 5000, 185496, 12497500, 12507499, 9998, 12512499, 1, 37527497
Descending Sorted N = 10000, 748666, 49995000, 50014999, 19998, 50024999, 1, 150054997
Unsorted N = 500, 943, 63191, 64190, 998, 64690, 1, 193070
Unsorted N = 1000, 3695, 249666, 251665, 1998, 252665, 1, 755995
Unsorted N = 5000, 95322, 6174928, 6184927, 9998, 6189927, 1, 18559781
Unsorted N = 10000, 371134, 24888834, 24908833, 19998, 24918833, 1, 74736499
